                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 0.9468,                0.51646,                 1.0779,                0.94049,                0.92074,                0.96434,                 0.7344,                0.98331,                0.46746,                 1.1318,             0.00051415,             0.00051415,             0.00051415
                     99,                0.93938,                0.51663,                 1.0776,                0.93475,                0.92953,                0.96833,                 0.7472,                0.97395,                0.46443,                 1.1299,             0.00050472,             0.00050472,             0.00050472
                    100,                0.92557,                0.49693,                 1.0654,                0.93339,                0.93772,                0.96793,                0.74123,                0.97477,                0.46663,                 1.1288,             0.00049529,             0.00049529,             0.00049529
                    101,                0.92533,                0.50295,                 1.0747,                0.94753,                0.92657,                0.96961,                0.74415,                0.95398,                0.45739,                 1.1195,             0.00048586,             0.00048586,             0.00048586
                    102,                0.92424,                0.49838,                 1.0611,                0.94946,                0.92123,                0.97042,                0.74979,                0.96326,                0.44958,                 1.1251,             0.00047643,             0.00047643,             0.00047643
                    103,                0.93979,                0.50072,                 1.0721,                0.92452,                0.92771,                0.96941,                0.74763,                0.97603,                0.46517,                 1.1312,               0.000467,               0.000467,               0.000467
                    104,                0.93386,                0.49651,                 1.0726,                0.93703,                0.93479,                0.96768,                0.74737,                0.96383,                0.46216,                 1.1186,             0.00045757,             0.00045757,             0.00045757
                    105,                0.94441,                0.49902,                 1.0794,                 0.9323,                0.91853,                0.96708,                0.74928,                0.95937,                0.46361,                 1.1201,             0.00044813,             0.00044813,             0.00044813
                    106,                0.91543,                0.48974,                 1.0586,                 0.9323,                0.93247,                0.96852,                0.74205,                0.96291,                0.45626,                 1.1237,              0.0004387,              0.0004387,              0.0004387
                    107,                0.91304,                0.48669,                 1.0597,                0.92433,                0.94442,                0.96855,                0.75164,                0.94836,                0.45346,                 1.1171,             0.00042927,             0.00042927,             0.00042927
                    108,                0.91454,                0.49227,                 1.0611,                0.93434,                0.92769,                0.96512,                0.74605,                0.96243,                0.46328,                 1.1238,             0.00041984,             0.00041984,             0.00041984
