                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0372,                0.49859,                 1.1325,                0.96528,                0.96283,                0.98809,                0.76717,                 1.0131,                0.42587,                 1.1443,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.0324,                 0.5078,                 1.1329,                0.96751,                0.96918,                0.98817,                0.76674,                 1.0372,                0.42517,                 1.1562,             0.00078682,             0.00078682,             0.00078682
                     82,                 1.0367,                0.50642,                 1.1298,                0.96884,                 0.9638,                0.98737,                0.76733,                 1.0165,                0.43035,                  1.146,             0.00077582,             0.00077582,             0.00077582
                     83,                 1.0259,                0.49333,                 1.1313,                0.96946,                0.96631,                0.98913,                0.75145,                  1.085,                0.43665,                 1.1914,             0.00076482,             0.00076482,             0.00076482
                     84,                 1.0158,                0.49732,                 1.1344,                0.97303,                 0.9726,                0.98728,                0.76727,                 1.0188,                0.42094,                 1.1495,             0.00075382,             0.00075382,             0.00075382
                     85,                 1.0093,                0.49147,                 1.1213,                0.97653,                0.96109,                0.98726,                0.77054,                 1.0112,                0.41858,                 1.1426,             0.00074282,             0.00074282,             0.00074282
                     86,                 1.0182,                0.50885,                 1.1252,                0.96851,                0.97084,                0.98926,                0.76906,                 1.0165,                0.42311,                 1.1443,             0.00073181,             0.00073181,             0.00073181
                     87,                 1.0174,                0.49416,                  1.114,                0.97587,                0.95575,                 0.9892,                0.77145,                 1.0195,                0.42418,                 1.1449,             0.00072081,             0.00072081,             0.00072081
                     88,                 1.0075,                 0.4834,                 1.1221,                0.96573,                0.96817,                0.98748,                0.77467,                 1.0028,                0.42005,                 1.1408,             0.00070981,             0.00070981,             0.00070981
                     89,                 1.0028,                0.49573,                 1.1147,                0.97399,                0.97496,                0.98892,                0.77131,                0.99906,                 0.4157,                 1.1395,             0.00069881,             0.00069881,             0.00069881
                     90,                 1.0073,                0.48328,                 1.1204,                0.96812,                0.97439,                 0.9894,                0.77245,                 1.0012,                 0.4209,                 1.1407,              0.0006878,              0.0006878,              0.0006878
                     91,                 1.0002,                0.48401,                 1.1216,                0.96604,                0.97194,                0.98697,                0.77193,                0.99849,                0.41847,                  1.139,              0.0006768,              0.0006768,              0.0006768
                     92,                 1.0006,                0.49043,                  1.111,                0.96649,                0.95548,                0.98289,                 0.7688,                 1.0009,                0.43111,                 1.1421,              0.0006658,              0.0006658,              0.0006658
                     93,                0.98928,                0.48434,                 1.1141,                0.96168,                 0.9767,                0.98867,                0.77702,                0.99165,                0.41547,                 1.1395,              0.0006548,              0.0006548,              0.0006548
                     94,                0.98001,                 0.4843,                 1.1089,                0.97017,                0.96421,                 0.9888,                0.76946,                 1.0123,                0.41648,                 1.1494,              0.0006438,              0.0006438,              0.0006438
                     95,                0.97916,                0.47046,                 1.1037,                0.97294,                0.96295,                0.98929,                0.78156,                0.98153,                0.40806,                 1.1297,             0.00063279,             0.00063279,             0.00063279
                     96,                0.97163,                0.46372,                 1.0975,                0.96267,                0.96592,                0.98969,                0.77898,                0.99517,                0.41408,                 1.1385,             0.00062179,             0.00062179,             0.00062179
                     97,                0.96664,                0.46517,                 1.0922,                0.97566,                 0.9693,                0.99149,                0.78184,                0.97504,                0.40202,                 1.1269,             0.00061079,             0.00061079,             0.00061079
                     98,                0.97066,                0.47658,                 1.1022,                0.98004,                0.96792,                0.99005,                0.77908,                0.98714,                  0.407,                 1.1314,             0.00059979,             0.00059979,             0.00059979
                     99,                 0.9721,                 0.4707,                  1.107,                0.97565,                  0.975,                0.98944,                0.77886,                0.97343,                0.40261,                 1.1316,             0.00058878,             0.00058878,             0.00058878
                    100,                0.96874,                0.46984,                 1.0922,                0.96702,                0.96953,                0.98983,                0.77204,                 1.0084,                0.41241,                 1.1443,             0.00057778,             0.00057778,             0.00057778
                    101,                0.97181,                 0.4663,                 1.1028,                0.97293,                 0.9639,                0.98873,                0.77611,                0.99289,                0.41304,                 1.1353,             0.00056678,             0.00056678,             0.00056678
                    102,                 0.9671,                0.46618,                 1.0971,                0.97633,                0.95832,                 0.9866,                0.78219,                0.97736,                0.40419,                 1.1307,             0.00055578,             0.00055578,             0.00055578
                    103,                0.94988,                0.46239,                 1.0897,                0.97297,                0.96179,                0.98893,                0.77961,                0.97548,                0.40382,                 1.1264,             0.00054478,             0.00054478,             0.00054478
                    104,                0.95611,                0.46126,                 1.0992,                0.97193,                0.97193,                0.98919,                0.77598,                0.99653,                0.40486,                 1.1397,             0.00053377,             0.00053377,             0.00053377
                    105,                0.96156,                0.46027,                 1.0974,                 0.9642,                0.96373,                0.98794,                0.77421,                 0.9901,                0.40766,                 1.1344,             0.00052277,             0.00052277,             0.00052277
                    106,                0.96045,                0.46129,                 1.0968,                0.97858,                 0.9674,                0.98957,                0.77824,                0.99611,                0.40234,                 1.1413,             0.00051177,             0.00051177,             0.00051177
                    107,                 0.9499,                0.45913,                 1.0887,                0.97155,                0.97405,                 0.9891,                0.78554,                0.96763,                0.39444,                 1.1199,             0.00050077,             0.00050077,             0.00050077
                    108,                0.94739,                0.46425,                 1.0974,                0.97474,                0.97276,                0.98897,                0.78204,                0.97677,                0.40264,                  1.129,             0.00048976,             0.00048976,             0.00048976
                    109,                 0.9433,                0.45119,                 1.0834,                0.97369,                 0.9662,                0.99013,                0.77894,                0.98323,                0.39989,                   1.13,             0.00047876,             0.00047876,             0.00047876
                    110,                0.94886,                0.45631,                 1.0914,                0.97539,                0.97661,                0.98857,                0.77434,                0.99507,                0.39919,                 1.1462,             0.00046776,             0.00046776,             0.00046776
                    111,                0.94077,                0.45146,                 1.0981,                0.96769,                0.97888,                0.99071,                0.78648,                0.96174,                0.39415,                 1.1196,             0.00045676,             0.00045676,             0.00045676
                    112,                0.93991,                 0.4492,                 1.0846,                0.98716,                0.96886,                0.98938,                 0.7853,                0.96571,                0.39074,                 1.1171,             0.00044576,             0.00044576,             0.00044576
                    113,                0.91631,                0.45199,                 1.0801,                0.97824,                0.97164,                0.98738,                0.78198,                0.97397,                0.39335,                 1.1246,             0.00043475,             0.00043475,             0.00043475
                    114,                0.93944,                0.44617,                 1.0799,                0.96822,                0.97976,                0.98957,                0.78791,                0.95737,                0.38913,                 1.1133,             0.00042375,             0.00042375,             0.00042375
                    115,                0.91964,                 0.4485,                 1.0696,                0.95983,                0.97497,                0.98906,                0.78356,                 0.9711,                0.39906,                  1.122,             0.00041275,             0.00041275,             0.00041275
                    116,                0.93464,                0.45268,                  1.091,                0.97147,                0.97758,                0.98826,                0.78162,                0.97245,                0.39149,                 1.1227,             0.00040175,             0.00040175,             0.00040175
                    117,                0.93548,                 0.4486,                 1.0872,                0.96846,                0.98481,                0.99032,                0.79051,                0.96075,                0.38824,                 1.1178,             0.00039074,             0.00039074,             0.00039074
                    118,                0.91877,                0.43967,                 1.0799,                0.97315,                0.96742,                0.98824,                0.78499,                0.97165,                0.39537,                 1.1246,             0.00037974,             0.00037974,             0.00037974
                    119,                0.90556,                0.43259,                 1.0673,                 0.9708,                0.96966,                0.99023,                0.78561,                0.96314,                0.38991,                 1.1224,             0.00036874,             0.00036874,             0.00036874
