                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.96016,                0.52474,                 1.0321,                0.96221,                0.98182,                0.98188,                0.67178,                 1.1327,                0.51957,                 1.1369,              0.0005348,              0.0005348,              0.0005348
                     76,                0.99265,                0.60078,                 1.1449,                0.96134,                0.98182,                0.98221,                0.68838,                 1.0741,                0.50279,                 1.1006,               0.000515,               0.000515,               0.000515
                     77,                0.92863,                0.52703,                 1.0547,                0.96198,                0.98182,                0.98666,                0.70251,                 1.0564,                0.49774,                 1.0755,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.8998,                0.51601,                 1.0109,                0.96138,                0.98182,                0.98501,                 0.6893,                 1.0667,                0.51653,                 1.0755,              0.0004754,              0.0004754,              0.0004754
                     79,                0.91557,                0.51648,                 1.0216,                0.96138,                0.98182,                0.98501,                 0.6893,                 1.0667,                0.51653,                 1.0755,              0.0004556,              0.0004556,              0.0004556
                     80,                0.94234,                0.52308,                 1.0444,                0.96052,                0.98182,                 0.9842,                0.68824,                 1.0793,                0.52681,                 1.0827,              0.0004358,              0.0004358,              0.0004358
                     81,                0.93095,                 0.5219,                 1.0277,                 0.9619,                0.98182,                0.98415,                 0.6938,                 1.0727,                 0.5317,                 1.0816,               0.000416,               0.000416,               0.000416
                     82,                0.91563,                0.49992,                 1.0032,                0.96148,                0.98182,                0.98595,                 0.7015,                 1.0689,                0.52353,                 1.0808,              0.0003962,              0.0003962,              0.0003962
                     83,                0.94676,                0.52283,                 1.0727,                0.96148,                0.98182,                0.98595,                 0.7015,                 1.0689,                0.52353,                 1.0808,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.9519,                0.53477,                 1.0749,                 0.9441,                0.98182,                0.98536,                 0.6883,                 1.0996,                 0.5301,                 1.0985,              0.0003566,              0.0003566,              0.0003566
                     85,                0.93181,                0.53201,                 1.0548,                0.92971,                0.98182,                0.98377,                0.69254,                 1.1082,                0.54388,                  1.102,              0.0003368,              0.0003368,              0.0003368
                     86,                0.89415,                0.50545,                 1.0134,                0.94606,                0.98182,                 0.9851,                0.70423,                 1.0862,                0.53158,                 1.0891,               0.000317,               0.000317,               0.000317
                     87,                0.90426,                 0.4937,                 1.0294,                0.94606,                0.98182,                 0.9851,                0.70423,                 1.0862,                0.53158,                 1.0891,              0.0002972,              0.0002972,              0.0002972
                     88,                0.92924,                0.51319,                 1.0732,                0.94563,                0.98182,                0.98428,                0.70569,                 1.0613,                0.51795,                 1.0773,              0.0002774,              0.0002774,              0.0002774
                     89,                0.91185,                0.48673,                 1.0234,                0.96051,                0.98182,                0.98416,                0.71247,                  1.043,                0.50369,                 1.0689,              0.0002576,              0.0002576,              0.0002576
